"","BRCA1","nonBRCA1","FC_nonBRCA1_BRCA1","logFC_nonBRCA1_BRCA1","p.val.adj.nonBRCA1.BRCA1","labels","input.mz","input.rt","M+H","M+NH4","M+Na","M+K","M+H-H2O","M+H-2H2O"
"FT00031",12652.4482421875,11925.828125,-1.06092827345585,-0.0853271227678045,0.259757739602746,"FT00031",101.939644218527,237.245887756348,"No hit","No hit","No hit","No hit","No hit","No hit"
"FT00034",12841.89453125,9652.544921875,-1.33041541222431,-0.41187678676457,0.0148343295593045,"FT00034",101.963301754605,43.6178894042969,"No hit","No hit","No hit","CE(16:1(9Z));CE(16:0);Leukotriene C4;Glycochenodeoxycholic acid 3-glucuronide;Ceramide (d18:1/22:0);11-trans-Leukotriene C4;Tri-N-acetylchitotriose;DG(14:0/22:0/0:0);DG(14:0/22:1(13Z)/0:0);DG(14:0/22:2(13Z,16Z)/0:0);DG(14:1(9Z)/22:0/0:0);DG(14:1(9Z)/22:1(13Z)/0:0);DG(15:0/22:5(4Z,7Z,10Z,13Z,16Z)/0:0);DG(15:0/22:5(7Z,10Z,13Z,16Z,19Z)/0:0);DG(15:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0);DG(16:0/20:0/0:0);DG(16:0/20:1(11Z)/0:0);DG(16:0/20:2(11Z,14Z)/0:0);DG(16:1(9Z)/20:0/0:0);DG(16:1(9Z)/20:1(11Z)/0:0);DG(18:0/18:0/0:0);DG(18:0/18:1(11Z)/0:0);DG(18:0/18:1(9Z)/0:0);DG(18:0/18:2(9Z,12Z)/0:0);DG(18:1(11Z)/18:0/0:0);DG(18:1(11Z)/18:1(11Z)/0:0);DG(18:1(11Z)/18:1(9Z)/0:0);DG(18:1(9Z)/18:0/0:0);DG(18:1(9Z)/18:1(11Z)/0:0);DG(18:1(9Z)/18:1(9Z)/0:0);DG(18:2(9Z,12Z)/18:0/0:0);DG(20:0/16:0/0:0);DG(20:0/16:1(9Z)/0:0);DG(20:1(11Z)/16:0/0:0);DG(20:1(11Z)/16:1(9Z)/0:0);DG(20:2(11Z,14Z)/16:0/0:0);DG(22:0/14:0/0:0);DG(22:0/14:1(9Z)/0:0);DG(22:1(13Z)/14:0/0:0);DG(22:1(13Z)/14:1(9Z)/0:0);DG(22:2(13Z,16Z)/14:0/0:0);DG(22:5(4Z,7Z,10Z,13Z,16Z)/15:0/0:0);DG(22:5(7Z,10Z,13Z,16Z,19Z)/15:0/0:0);DG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/15:0/0:0);6-(N-Acetyl-alpha-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol ;""ADP-ribose 1""""-2"""" cyclic phosphate "";Cer(d18:0/22:0);Cer(d18:0/22:1(13Z));Leukotriene C5;Pinotin A;3-O-Protocatechuoylceanothic acid;Camellianin A;Squamosten A;(1alpha,3beta,20S,22R,24S,25S)-Pubescenin;Kuwanon L;Isotetrandrine;Rollinecin A;Squamotacin;Annonsilin A;Janthitrem G;Delphinidin 3,5-diglucoside;Glycerol 1,2-dioctadecanoate;Muconin;Mucoxin;Mosinone A;Trilobacin;Squamostatin E;Annomutacin;Squamoxinone;Squamocin F;Jimenezin;2,4-cis-Trilobacinone;Glabranin;Bullacin B;Annoglacin A;Ponasteroside A;Faradiol laurate;Asitrilobin D;Asitrilobin C;Kanokoside D;4-Deoxy-6-hydroxysquamotacin;Fasciculic acid A;(3b,7b,22x)-Cucurbita-5,24-diene-3,7,23-triol 7-glucoside;Peltatol B;Peltatol A;Soyasapogenol B 24-O-b-D-glucoside;(20R)-Ginsenoside Rh2;Gigantetronenin;Annohexocin;Squamosinin A;Ginsenoside Rh4;DG(14:0/0:0/22:0);DG(14:0/0:0/22:1n9);DG(14:0/0:0/22:2n6);DG(15:0/0:0/22:5n6);DG(15:0/0:0/22:5n3);DG(15:0/0:0/22:6n3);DG(16:0/0:0/20:0);DG(16:0/0:0/20:1n9);DG(18:0/0:0/18:0);DG(18:0/0:0/18:1n7);DG(18:0/0:0/18:1n9);DG(20:0/0:0/16:1n7);DG(22:0/0:0/14:1n5);DG(14:1n5/0:0/22:1n9);DG(16:1n7/0:0/20:1n9);DG(18:1n7/0:0/18:1n7);DG(18:1n7/0:0/18:1n9);DG(18:1n9/0:0/18:1n9);DG(18:2n6/0:0/18:3n6);DG(18:2n6/0:0/18:3n3);DG(18:2n6/0:0/18:4n3);DG(18:3n6/0:0/20:2n6);DG(20:2n6/0:0/18:3n3);DG(20:2n6/0:0/18:4n3)","No hit","No hit"
"FT00038",53981.35546875,55765.853515625,1.03305767392055,0.0469207997562083,0.78285732910025,"FT00038",102.012127886026,114.684310913086,"No hit","No hit","No hit","No hit","No hit","No hit"
"FT00042",39350.5859375,44839.875,1.13949700955454,0.188397138463234,0.0496875077435065,"FT00042",102.012048919651,8.51242446899414,"No hit","No hit","No hit","No hit","No hit","No hit"
"FT00045",200,25392.6484375,126.9632421875,6.98826706480671,0.000341110817795235,"FT00045",102.035368949182,107.149925231934,"No hit","No hit","No hit","No hit","No hit","Trigonelline;p-Aminobenzoic acid;3-Pyridylacetic acid;Methyl nicotinate"
"FT00046",123751.3125,497180.046875,4.01757392977145,2.0063245720356,4.26637169395457e-06,"FT00046",102.054135865025,57.2036285400391,"L-3-Aminodihydro-2(3H)-furanone;(S)-2-Azetidinecarboxylic acid","4-Hydroxy-2-butenoic acid gamma-lactone","No hit","No hit","No hit","No hit"
"FT00047",25847.185546875,110028.9921875,4.25690417968168,2.08980461629911,6.91969036853986e-07,"FT00047",102.045596826779,270.181335449219,"No hit","No hit","No hit","No hit","No hit","No hit"
"FT00048",12646.662109375,80193.583984375,6.34108694379739,2.66473015803343,1.78911440643559e-06,"FT00048",102.054053707412,108.070335388184,"L-3-Aminodihydro-2(3H)-furanone;(S)-2-Azetidinecarboxylic acid","No hit","No hit","No hit","No hit","No hit"
"FT00049",1332.64855957031,4080.95666503906,3.06229023078289,1.6146110217889,1.62385995909123e-05,"FT00049",102.054143179975,172.062,"L-3-Aminodihydro-2(3H)-furanone;(S)-2-Azetidinecarboxylic acid","4-Hydroxy-2-butenoic acid gamma-lactone","No hit","No hit","No hit","No hit"
"FT00050",765.796691894531,3893.19006347656,5.0838428850418,2.34591944488387,0.00142271847023391,"FT00050",102.054059189904,228.568519592285,"L-3-Aminodihydro-2(3H)-furanone;(S)-2-Azetidinecarboxylic acid","No hit","No hit","No hit","No hit","No hit"
